og_centroid,closest_centroid,dist,cluster_id
"(5204.346, 5310.018)","(5079.656, 5347.24)",130.127,0
"(5079.656, 5347.24)","(5204.346, 5310.018)",130.127,9
"(5136.858, 4975.242)","(5204.346, 5310.018)",341.511,18
"(4669.104, 5084.984)","(5136.858, 4975.242)",480.455,11
"(3860.728, 3468.232)","(3913.238, 3986.41)",520.831,4
"(3913.238, 3986.41)","(3860.728, 3468.232)",520.831,6
"(4315.384, 4344.096)","(3913.238, 3986.41)",538.201,17
"(3128.202, 3619.488)","(3860.728, 3468.232)",747.979,8
"(6572.384, 5972.688)","(5204.346, 5310.018)",1520.085,24
"(1407.48, 1079.808)","(3128.202, 3619.488)",3067.712,15
