radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.056,0.0,9.488067907457453e-05,0.0,324
0.124,0.012345679012345678,0.037405182857094446,0.3300526309285008,324
0.191,0.10185185185185185,0.13319180298704708,0.7647006014458484,324
0.259,0.20987654320987653,0.25405640317511413,0.8261021591540614,324
0.326,0.32098765432098764,0.37889616495683776,0.8471652236373339,324
0.394,0.5,0.48830256770837743,1.0239552954769808,324
0.461,0.6203703703703703,0.5660544039036622,1.095955381836323,324
0.529,0.654320987654321,0.6361913878840761,1.0284970845495764,324
0.596,0.7253086419753086,0.6966230949738654,1.0411780017177286,324
0.664,0.808641975308642,0.7479581169573799,1.081132695769274,324
0.731,0.8425925925925926,0.7911935481138229,1.0649639327839606,324
